date,title,media_type,url
2024-06-18,Gigantic Jets over Himalayan Mountains,image,https://apod.nasa.gov/apod/image/2406/GiganticJets_Xuanhua_960.jpg
2024-06-19,NGC 6188: Dragons of Ara,image,https://apod.nasa.gov/apod/image/2406/AraDragons_Taylor_960.jpg
2024-06-20,Sandy and the Moon Halo,image,https://apod.nasa.gov/apod/image/2406/MoonHalo_pace.jpg
2024-06-21,Hubble's NGC 1546,image,https://apod.nasa.gov/apod/image/2406/NGC1546compassHST1024.jpg
2024-06-22,Lynds Dark Nebula 1251,image,https://apod.nasa.gov/apod/image/2406/LDN1251_1098c.png
2024-06-23,The Colors of Saturn from Cassini,image,https://apod.nasa.gov/apod/image/2406/SaturnColors_CassiniSchmidt_960.jpg
2024-06-24,JADES-GS-z14-0: A New Farthest Object,image,https://apod.nasa.gov/apod/image/2406/MostDistantGalaxy_Webb_960.jpg
2024-06-25,The Dark Doodad Nebula,image,https://apod.nasa.gov/apod/image/2406/Doodad_PughSung_1080.jpg
2024-06-26,"Timelapse: Aurora, SAR, and the Milky Way",video,https://www.youtube.com/embed/fisAZYNwDgk?rel=0
2024-06-27,Protostellar Outflows in Serpens,image,https://apod.nasa.gov/apod/image/2406/STScI-SerpNorth1024.png
2024-06-28,Comet 13P/Olbers,image,https://apod.nasa.gov/apod/image/2406/13P_Olbers_2024_06_24_215434PDT_DEBartlett1024.jpg
2024-06-29,A Solstice Moon,image,https://apod.nasa.gov/apod/image/2406/SolsMoon2024c1024.jpg
2024-06-30,Earthrise: A Video Reconstruction,video,https://www.youtube.com/embed/1R5QqhPq1Ik?rel=0
2024-07-01,Time Spiral,image,https://apod.nasa.gov/apod/image/2407/TimeSpiral_Budassi_960.jpg
2024-07-02,NGC 602: Oyster Star Cluster,image,https://apod.nasa.gov/apod/image/2407/Ngc602_Hubble_960.jpg
2024-07-03,M83: Star Streams and a Thousand Rubies,image,https://apod.nasa.gov/apod/image/2407/DeepM83ThousandRubyGalaxy1024.jpg
2024-07-04,A Beautiful Trifid,image,https://apod.nasa.gov/apod/image/2407/TrifidrecortesRGB1024.jpg
2024-07-05,Mount Etna Milky Way,image,https://apod.nasa.gov/apod/image/2407/GianniTumino_Etna&MW_14mm_JPG_LOGO__1024pix.jpg
2024-07-06,NGC 7789: Caroline's Rose,image,https://apod.nasa.gov/apod/image/2407/NGC7789_difusco1024c.jpg
2024-07-07,Iridescent Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2407/IridescentClouds_Strand_960.jpg
2024-07-08,Exoplanet Zoo: Other Stars,image,https://apod.nasa.gov/apod/image/2407/ExoplanetZoo_Vargic_1080.jpg
2024-07-09,Noctilucent Clouds over Florida,image,https://apod.nasa.gov/apod/image/2407/NoctilucentFlorida_Pouquet_960.jpg
2024-07-10,A Sagittarius Triplet,image,https://apod.nasa.gov/apod/image/2407/sagittariusTri1024.jpg
2024-07-11,Globular Cluster Omega Centauri,image,https://apod.nasa.gov/apod/image/2407/NGC5139_Stein_a1024.jpg
2024-07-12,Jones-Emberson 1,image,https://apod.nasa.gov/apod/image/2407/PK164_vdef3_1024.jpg
2024-07-13,Solar System Family Portrait,image,https://apod.nasa.gov/apod/image/2407/ssportrait_vg1.jpg
2024-07-14,Meteor Misses Galaxy,image,https://apod.nasa.gov/apod/image/2407/M33Meteor_Chokshi_960.jpg
2024-07-15,The Tadpole Galaxy from Hubble,image,https://apod.nasa.gov/apod/image/2407/TadpoleGalaxy_HubblePathak_960.jpg
2024-07-16,Cometary Globules,image,https://apod.nasa.gov/apod/image/2407/CometaryGlobs_Pugh_1080.jpg
